일시,구분,자재명,브랜드,종류,규격,수량,단가,금액,담당자,비고,위치
2025-11-01 09:00:00,입고,엔드밀,마끼다,절삭공구,Φ6mm,115,24992,2874080,관리자,초도입고,
2025-11-01 09:19:00,입고,리머,디월트,절삭공구,Φ4mm,66,12911,852126,박과장,초도입고,
2025-11-01 09:38:00,입고,차단기,서통,전기자재,50A,43,56743,2439949,이대리,초도입고,
2025-11-01 09:57:00,입고,평와셔,삼성볼트,볼트/너트,M6x20,1688,1045,1763960,judy,초도입고,
2025-11-01 10:16:00,입고,앙카볼트,유진볼트,볼트/너트,M16x80,1579,380,600020,최주임,초도입고,
2025-11-01 10:35:00,입고,앙카볼트,KBC,볼트/너트,M18x90,1855,881,1634255,judy,초도입고,
2025-11-01 10:54:00,입고,가죽장갑,세아ESAB,용접자재,3.2mm,15,4049,60735,최주임,초도입고,
2025-11-01 11:13:00,입고,안전장갑,3M,안전용품,L,73,55133,4024709,박과장,초도입고,
2025-11-01 11:32:00,입고,사포,보쉬,연마공구,80방,15,9645,144675,김기사,초도입고,
2025-11-01 11:51:00,입고,드라이버세트,베셀,수공구,6인치,76,18461,1403036,관리자,초도입고,
2025-11-01 12:10:00,입고,리머,디월트,절삭공구,8x75,69,7343,506667,이대리,초도입고,
2025-11-01 12:29:00,입고,니들베어링,FAG,베어링,6201,131,72014,9433834,관리자,초도입고,
2025-11-01 12:48:00,입고,압착단자,대한전선,전기자재,4SQ,31,111550,3458050,관리자,초도입고,
2025-11-01 13:07:00,입고,플랩디스크,노턴,연마공구,4인치,16,15665,250640,이대리,초도입고,
2025-11-01 13:26:00,입고,절단석,보쉬,연마공구,80방,25,4383,109575,박과장,초도입고,
2025-11-01 13:45:00,입고,탭,보쉬,절삭공구,Φ4mm,136,6021,818856,김기사,초도입고,
2025-11-01 14:04:00,입고,평와셔,대한,볼트/너트,M6x1000,139,607,84373,최주임,초도입고,
2025-11-01 14:23:00,입고,망치,토네,수공구,8인치,126,46799,5896674,최주임,초도입고,
2025-11-01 14:42:00,입고,실리콘호스,KPF,배관자재,1m,77,38696,2979592,박과장,초도입고,
2025-11-01 15:01:00,입고,아이볼트,삼성볼트,볼트/너트,M18x90,405,688,278640,최주임,초도입고,
2025-11-01 15:20:00,입고,니퍼,세신,수공구,12인치,73,59973,4378029,이대리,초도입고,
2025-11-01 15:39:00,입고,스프링와셔,삼성볼트,볼트/너트,M10x30,214,1235,264290,최주임,초도입고,
2025-11-01 15:58:00,입고,용접면,현대,용접자재,3.2mm,54,10605,572670,박과장,초도입고,
2025-11-01 16:17:00,입고,에어임팩,베스토,에어공구,10m,8,147053,1176424,이대리,초도입고,
2025-11-01 16:36:00,입고,디지털각도기,카프로,측정공구,1/2인치,107,54872,5871304,박과장,초도입고,
2025-11-01 16:55:00,입고,실린더,베스코,유압기기,20톤,10,325721,3257210,최주임,초도입고,
2025-11-01 17:14:00,입고,유압호스,베스코,유압기기,10톤,11,356532,3921852,관리자,초도입고,
2025-11-01 17:33:00,입고,스프링와셔,삼성볼트,볼트/너트,M6x20,532,42,22344,judy,초도입고,
2025-11-01 17:52:00,입고,윤활방청제,나바켐,케미칼,220ml,139,29888,4154432,최주임,초도입고,
2025-11-01 18:11:00,입고,에어건,잉가솔랜드,에어공구,1/4인치,116,243494,28245304,김기사,초도입고,
2025-11-01 18:30:00,입고,나사고정제,WD-40,케미칼,360ml,118,19926,2351268,judy,초도입고,
2025-11-01 18:49:00,입고,파츠클리너,불스원,케미칼,1L,11,16263,178893,관리자,초도입고,
2025-11-01 19:08:00,입고,필로우블록,SKF,베어링,6202,54,17441,941814,최주임,초도입고,
2025-11-01 19:27:00,입고,육각너트,삼성볼트,볼트/너트,M12x50,444,362,160728,judy,초도입고,
